"","file","Global_sholl_auc","Global_sholl_peak","Global_sholl_radius_at_peak","Global_sholl_semilog_slope","Global_sholl_semilog_intercept","Global_sholl_radius_com","Global_sholl_r10","Global_sholl_r50","Global_sholl_r90","Global_sholl_width_r90_r10","Global_sholl_entropy","Global_convex_3D_volume","Global_alpha_3D_volume","Global_n_branches","Global_branch_len_mean","Global_branch_len_median","Global_branch_len_sd","Global_branch_len_min","Global_branch_len_max","Global_branch_tortuosity_mean","Global_branch_tortuosity_median","Global_branch_tortuosity_sd","Global_branch_tortuosity_max","Global_branch_contraction_mean","Global_branch_contraction_median","Global_branch_contraction_sd","Global_branch_contraction_min","Global_n_bifurcations","Global_bif_childpair_angle_min_mean","Global_bif_childpair_angle_min_median","Global_bif_childpair_angle_min_sd","Global_bif_childpair_angle_min_min","Global_bif_childpair_angle_min_max","Global_bif_parent_child_tilt_min_mean","Global_bif_parent_child_tilt_min_median","Global_bif_parent_child_tilt_min_sd","Global_bif_parent_child_tilt_min_min","Global_bif_parent_child_tilt_min_max","Global_bif_plane_torque_mean","Global_bif_plane_torque_median","Global_bif_plane_torque_sd","Global_bif_plane_torque_min","Global_bif_plane_torque_max","Global_n_terminals","Global_N_stems","Global_trunk_total_length","Global_max_branch_order","Global_extent_width","Global_extent_height","Global_extent_depth","Global_dendrite_total_length","Basal_sholl_auc","Basal_sholl_peak","Basal_sholl_radius_at_peak","Basal_sholl_semilog_slope","Basal_sholl_semilog_intercept","Basal_sholl_radius_com","Basal_sholl_r10","Basal_sholl_r50","Basal_sholl_r90","Basal_sholl_width_r90_r10","Basal_sholl_entropy","Basal_convex_3D_volume","Basal_alpha_3D_volume","Basal_n_branches","Basal_branch_len_mean","Basal_branch_len_median","Basal_branch_len_sd","Basal_branch_len_min","Basal_branch_len_max","Basal_branch_tortuosity_mean","Basal_branch_tortuosity_median","Basal_branch_tortuosity_sd","Basal_branch_tortuosity_max","Basal_branch_contraction_mean","Basal_branch_contraction_median","Basal_branch_contraction_sd","Basal_branch_contraction_min","Basal_n_bifurcations","Basal_bif_childpair_angle_min_mean","Basal_bif_childpair_angle_min_median","Basal_bif_childpair_angle_min_sd","Basal_bif_childpair_angle_min_min","Basal_bif_childpair_angle_min_max","Basal_bif_parent_child_tilt_min_mean","Basal_bif_parent_child_tilt_min_median","Basal_bif_parent_child_tilt_min_sd","Basal_bif_parent_child_tilt_min_min","Basal_bif_parent_child_tilt_min_max","Basal_bif_plane_torque_mean","Basal_bif_plane_torque_median","Basal_bif_plane_torque_sd","Basal_bif_plane_torque_min","Basal_bif_plane_torque_max","Basal_n_terminals","Basal_max_branch_order","Basal_extent_width","Basal_extent_height","Basal_extent_depth","Basal_dendrite_total_length","Tuft_sholl_auc","Tuft_sholl_peak","Tuft_sholl_radius_at_peak","Tuft_sholl_semilog_slope","Tuft_sholl_semilog_intercept","Tuft_sholl_radius_com","Tuft_sholl_r10","Tuft_sholl_r50","Tuft_sholl_r90","Tuft_sholl_width_r90_r10","Tuft_sholl_entropy","Tuft_convex_3D_volume","Tuft_alpha_3D_volume","Tuft_n_branches","Tuft_branch_len_mean","Tuft_branch_len_median","Tuft_branch_len_sd","Tuft_branch_len_min","Tuft_branch_len_max","Tuft_branch_tortuosity_mean","Tuft_branch_tortuosity_median","Tuft_branch_tortuosity_sd","Tuft_branch_tortuosity_max","Tuft_branch_contraction_mean","Tuft_branch_contraction_median","Tuft_branch_contraction_sd","Tuft_branch_contraction_min","Tuft_n_bifurcations","Tuft_bif_childpair_angle_min_mean","Tuft_bif_childpair_angle_min_median","Tuft_bif_childpair_angle_min_sd","Tuft_bif_childpair_angle_min_min","Tuft_bif_childpair_angle_min_max","Tuft_bif_parent_child_tilt_min_mean","Tuft_bif_parent_child_tilt_min_median","Tuft_bif_parent_child_tilt_min_sd","Tuft_bif_parent_child_tilt_min_min","Tuft_bif_parent_child_tilt_min_max","Tuft_bif_plane_torque_mean","Tuft_bif_plane_torque_median","Tuft_bif_plane_torque_sd","Tuft_bif_plane_torque_min","Tuft_bif_plane_torque_max","Tuft_n_terminals","Tuft_max_branch_order","Tuft_extent_width","Tuft_extent_height","Tuft_extent_depth","Tuft_dendrite_total_length","Oblique_sholl_auc","Oblique_sholl_peak","Oblique_sholl_radius_at_peak","Oblique_sholl_semilog_slope","Oblique_sholl_semilog_intercept","Oblique_sholl_radius_com","Oblique_sholl_r10","Oblique_sholl_r50","Oblique_sholl_r90","Oblique_sholl_width_r90_r10","Oblique_sholl_entropy","Oblique_convex_3D_volume","Oblique_alpha_3D_volume","Oblique_n_components","Oblique_convex_3D_volume_component_sum","Oblique_alpha_3D_volume_component_sum","Oblique_n_branches","Oblique_branch_len_mean","Oblique_branch_len_median","Oblique_branch_len_sd","Oblique_branch_len_min","Oblique_branch_len_max","Oblique_branch_tortuosity_mean","Oblique_branch_tortuosity_median","Oblique_branch_tortuosity_sd","Oblique_branch_tortuosity_max","Oblique_branch_contraction_mean","Oblique_branch_contraction_median","Oblique_branch_contraction_sd","Oblique_branch_contraction_min","Oblique_n_bifurcations","Oblique_bif_childpair_angle_min_mean","Oblique_bif_childpair_angle_min_median","Oblique_bif_childpair_angle_min_sd","Oblique_bif_childpair_angle_min_min","Oblique_bif_childpair_angle_min_max","Oblique_bif_parent_child_tilt_min_mean","Oblique_bif_parent_child_tilt_min_median","Oblique_bif_parent_child_tilt_min_sd","Oblique_bif_parent_child_tilt_min_min","Oblique_bif_parent_child_tilt_min_max","Oblique_bif_plane_torque_mean","Oblique_bif_plane_torque_median","Oblique_bif_plane_torque_sd","Oblique_bif_plane_torque_min","Oblique_bif_plane_torque_max","Oblique_n_terminals","Oblique_max_branch_order","Oblique_extent_width","Oblique_extent_height","Oblique_extent_depth","Oblique_dendrite_total_length"
"1","BW054_P14_slide1_section_mid_crop1_Filaments_2.swc",3595,24,70,-0.006240392,3.365925182,113.5,30.52631579,99.09090909,205.5555556,175.0292398,3.178522946,12981740.19,8022796.587,73,62.79998513,53.23151451,46.26709355,3.154045022,190.3123506,1.128756092,1.133196707,0.072739255,1.326401421,0.889547685,0.882459324,0.057101524,0.753919579,34,78.69148201,75.91672071,38.47559736,6.934399621,147.175642,24.55249148,22.04134101,21.65678964,0,73.0851833,83.3401816,69.53810212,39.77576149,35.08688998,169.7642472,40,6,106.7982769,10,237.3933799,384.0534218,318.6067704,4477.600637,1920,18,70,-0.008484861,3.082064879,81.14583333,22.2,75.625,128.9090909,106.7090909,2.732814345,5613359.062,3622307.887,34,68.50011816,54.81061591,50.21831626,5,190.3123506,1.128238244,1.135026525,0.073879813,1.326401421,0.890000744,0.881038969,0.057855519,0.753919579,15,85.39333935,90,45.44165756,6.934399621,147.175642,24.68454927,20.24872714,22.63483588,0,65.47926638,77.36794661,69.31540398,32.70022102,36.00764078,152.6915728,20,5,237.3933799,258.1746711,225.2380808,2329.004018,1095,10,180,-0.00081955,1.94165824,189.1818182,130,184.4444444,236.6666667,106.6666667,2.786510643,1356452.538,977675.7124,27,54.48248656,54.38532001,40.21156093,2.719558788,149.2424769,1.106582341,1.106888757,0.068602638,1.257451732,0.907024611,0.903433154,0.056121306,0.795259154,13,78.67795993,74.62492089,33.37958093,19.40758627,146.9525416,22.95308361,22.04134101,18.38777622,0,56.95268214,89.05475058,70.21923609,48.36432016,35.41713249,169.7642472,14,6,158.3778592,155.4867307,241.5201528,1471.027137,490,6,80,-0.00382055,1.743217303,82.04081633,29.5,74.16666667,130.5,101,2.622249009,523051.368,191433.2193,3,67801.27306,34011.03996,9,75.28549808,45.33982897,51.42228303,34.15631399,168.4884406,1.164627856,1.174031151,0.047165648,1.216999309,0.859969869,0.851766156,0.036883118,0.821693153,3,55.25277949,42.27368901,28.94580724,35.06804566,88.41660381,8.901568529,4.398705355,11.81502626,6.27e-05,22.30593753,72.43204898,72.43204898,NA,72.43204898,72.43204898,6,2,78.46377693,130.0779995,318.6067704,677.5694827
"2","BW054_P14_slide1_section_mid_crop1_Filaments_4.swc",3835,42,70,-0.008905175,3.595793136,90.20833333,28.28571429,69.04761905,183.25,154.9642857,2.903274084,8723412.41,5080760.781,124,42.080599,35.86868045,30.702239,2.432447327,171.3632882,1.142776834,1.138375105,0.079827307,1.347922935,0.879300525,0.878445385,0.06140992,0.741882176,60,70.01779587,66.82278657,34.18596045,9.087907977,143.9615001,29.62368821,25.94243351,22.60017702,0,72.02522151,84.94164373,90,47.26371931,0,180,65,5,72.87257727,9,231.0289756,307.3546487,286.5588127,5145.121699,2280,32,70,-0.010947096,3.395248372,61.88596491,23.22222222,56.77419355,90.13333333,66.91111111,2.323976712,2842472.521,2590753.177,79,39.00269313,34.38681702,28.11694299,2.432447327,134.6957151,1.141915294,1.136140549,0.082316632,1.347922935,0.880223996,0.880172793,0.063494724,0.741882176,38,71.6876782,71.17124108,35.74569733,9.087907977,143.9615001,30.96204676,25.94243351,22.93743899,0,72.02522151,85.75739862,90,42.1389633,0,180,42,7,211.8051103,179.7741002,217.9165285,3081.212758,945,9,160,-7.17e-05,1.613799358,173.0526316,95,171.875,227,132,2.892179126,1254737.646,525893.7732,21,60.68406734,48.82035865,38.63303597,2.780143881,171.3632882,1.215582901,1.160465812,0.265673962,2.340059881,0.844421819,0.86172293,0.107430875,0.427339492,11,65.0403533,53.30611752,36.39050505,18.98321706,124.4369507,31.55843774,26.28117321,21.80681054,0,66.96563433,87.24869155,104.8945078,59.04056634,13.67138771,156.5309649,12,5,167.4762464,135.9717258,270.072304,1274.365414,550,9,60,-0.003904362,1.888009392,70.54545455,33,64.375,101.6666667,68.66666667,2.310152351,495790.5209,383280.9015,3,179312.7045,143893.8647,19,41.55492248,38.93639716,26.41452317,5.533221424,86.51602676,1.143950258,1.128551958,0.088869476,1.329854992,0.879142595,0.886091237,0.06788601,0.751961684,8,67.35909521,66.6755917,32.85061555,33.05503751,113.8042001,15.01977624,12.51595526,18.09269691,0,53.30610988,74.78475768,103.6713877,46.47089068,12.44463716,115.9424335,11,3,168.8957292,163.7170721,97.47851458,789.5435271
"3","BW054_P14_slide1_section_mid_crop1_Filaments_5.swc",2775,31,60,-0.007824088,3.029723181,90.79136691,28,69,145.5,117.5,2.887424115,5971471.698,2972592.94,63,59.33376763,48.53094124,51.39541061,2.780143881,310.6023213,1.172188119,1.176764386,0.098444683,1.437663481,0.858844399,0.849787784,0.069989386,0.695573069,30,66.92544353,71.17124108,21.92161021,22.83731137,108.6937935,33.15496621,26.56505118,24.88625398,0,72.02522151,84.91751843,81.25409951,36.88973077,35.63006981,180,34,4,354.9863289,5,187.9167835,507.0582725,217.8931055,3383.041032,1980,23,60,-0.004986873,2.889475804,72.67676768,26,65.65217391,113.2,87.2,2.548932378,2924910.065,2360357.091,44,59.72569361,55.58733014,44.54761643,2.780143881,153.5157562,1.16437056,1.156755709,0.105795526,1.437663481,0.865549055,0.864497203,0.076216381,0.695573069,21,64.87431661,63.43494882,22.84065413,22.83731137,108.6937935,36.46166191,38.14079519,23.86447887,0,72.02522151,94.04003577,90,37.08460803,41.6765891,180,24,5,172.586258,234.5663044,217.8931055,2627.930519,105,3,340,-0.008445825,3.84075568,331.8181818,305.5,327.5,349,43.5,1.720193459,5521.730333,5137.754667,4,35.56295137,31.90896199,13.0139453,25.25422678,53.17965475,1.182287396,1.181537164,0.032722122,1.223041215,0.8463036,0.846357941,0.02339873,0.817633934,1,64.05756649,64.05756649,NA,64.05756649,64.05756649,15.02806792,15.02806792,NA,15.02806792,15.02806792,NA,NA,NA,NA,NA,3,1,38.98089138,52.17444021,29.49300179,142.2518055,390,7,60,0.000859267,1.429457439,65.38461538,32.25,59.28571429,90.33333333,58.08333333,2.152224201,317440.7231,120859.6184,2,160869.2296,61497.45849,12,51.07155896,45.42152779,28.4927161,13.23492783,98.89872094,1.205884476,1.192111923,0.090379119,1.413832122,0.833214399,0.838849816,0.057617452,0.707297553,5,80.29911311,80.37919476,8.009806252,70.77743098,90,37.23092492,26.56505118,32.28766565,0,71.01678294,42.08074683,42.99268109,6.046508469,35.63006981,47.61948958,7,3,145.949705,117.0110902,153.8763491,612.8587075
"4","BW054_P14_slide1_section_mid_crop1_Filaments_6.swc",3765,37,100,-0.007166428,3.295621422,104.6949602,31.76190476,83.08823529,233.25,201.4880952,3.021553342,10349274.57,6052696.59,89,57.00939493,45.76591063,40.04064498,2.719558788,183.1093739,1.170479221,1.167350703,0.089479691,1.638567575,0.858984034,0.856640594,0.062156274,0.610289142,42,74.45748905,71.91033786,28.97188228,26.56505118,146.9526821,29.80947483,26.56505118,18.33258092,0,66.96563433,74.47346554,79.19686735,37.74482963,0,154.0879795,48,6,214.9211655,10,225.5711518,454.2582691,241.8461242,4858.914983,2390,26,70,-0.008716072,3.253119754,77.44769874,27.41666667,72.11538462,117.1,89.68333333,2.613303144,4415137.319,3505759.952,54,58.20336053,47.4950938,41.67341108,2.719558788,183.1093739,1.172229013,1.169410139,0.098695569,1.638567575,0.858500295,0.855134626,0.066782687,0.610289142,25,79.74588655,79.67447069,30.89390144,26.56505118,146.9526821,33.53298887,33.05117769,16.84913018,11.3090997,66.96563433,76.99677097,76.51524441,38.56098394,0,154.0879795,30,6,169.6451789,301.3947414,241.8461242,3142.981468,495,6,250,0.000828379,1.176965128,262.2,210,258,300,90,2.588692583,308520.6263,214541.8396,13,53.8190738,46.32576067,40.16450276,2.719558788,113.515356,1.145328877,1.143443756,0.080752337,1.298060942,0.877217551,0.874551104,0.063353492,0.770379855,6,71.71994568,66.31727868,30.34314174,40.23763622,124.8991157,23.85854288,18.43494882,21.71626046,0,64.46118975,71.15994725,56.64752254,50.97947761,27.18338933,150.276368,7,4,111.1030841,126.8146249,158.6430442,699.6479594,700,11,100,0.001649745,1.720440088,87.71428571,40,86.25,120,80,2.400613402,1069030.885,810700.309,5,300950.8109,223649.2375,17,59.78150325,52.5976864,36.56223621,19.50878023,126.8352638,1.188736166,1.207176309,0.075176408,1.300089675,0.844448295,0.828379411,0.05414323,0.769177711,6,63.19310162,67.27558678,14.32203378,38.82690784,78.69006753,31.46022301,26.42311219,23.3124746,0,64.05756649,49.90098746,51.35555987,22.89026873,26.3181206,72.02928191,11,2,147.4988983,181.2296906,152.4955046,1016.285555
"5","BW054_P14_slide1_section_mid_crop1_Filaments_8.swc",2385,25,50,-0.007176829,2.858463975,89.83333333,22.63157895,63.33333333,190,167.3684211,2.921626768,5958381.54,2897143.951,63,49.68239762,47.19692018,43.38720535,3.034534561,262.7939913,1.155792899,1.142511087,0.093252289,1.402703724,0.870760978,0.875265029,0.070307452,0.712908922,30,64.20893325,58.47656607,30.20062919,17.96930995,128.9223795,32.07708832,29.87122184,22.3699283,0,76.70216726,90.51354618,90,35.56478622,29.42777135,165.2673817,34,4,318.1176837,5,191.3551802,511.2149387,204.8113807,2811.873367,1620,19,40,-0.014187307,3.31573077,62.40740741,19.33333333,56.11111111,96.18181818,76.84848485,2.453717889,2641082.569,2060787.825,46,45.62391509,44.32914891,33.1502003,3.034534561,111.0910578,1.160792552,1.146818847,0.099337113,1.402703724,0.867684606,0.871983275,0.074492937,0.712908922,22,70.03752821,65.2493312,32.47445363,17.96930995,128.9223795,32.43694711,36.14182436,19.09652049,0,76.70216726,85.49851774,90,35.09003194,29.42777135,143.5807836,25,5,187.5510743,261.8636988,204.8113807,2098.700094,135,3,350,0.003082308,0.153371193,322,287.5,317.5,345,57.5,1.933809999,21297.09196,18539.93057,3,67.65328967,25.28733095,75.97965025,22.30243247,155.3701056,1.808273168,1.188571706,1.136526832,3.119957624,0.685895851,0.841345957,0.31759748,0.320517174,2,50.46373207,50.46373207,19.22458501,36.86989765,64.05756649,36.01261076,36.01261076,50.92952255,0,72.02522151,90,90,NA,90,90,3,2,33.99988495,73.58755873,48.25405861,202.959869,350,7,50,-0.008718339,1.914336443,73.14285714,36.25,59.16666667,125,88.75,2.299248091,236579.1117,144271.3518,2,134513.7256,77228.48777,10,51.02134035,50.21798236,43.29296524,3.592547842,155.1859859,1.151732953,1.172591726,0.096709787,1.279426877,0.873983175,0.852816653,0.075978779,0.781599963,4,45.98331799,42.49583435,16.17222319,31.37062513,67.57097811,26.25231551,18.08199688,21.05569501,11.37424951,57.47101876,137.6838519,137.6838519,39.00900198,110.1003221,165.2673817,6,3,106.6275778,130.2295507,79.37988179,510.2134035
"6","BW054_P14_slide1_section_mid_crop1_Filaments_9.swc",2035,22,90,-0.010462715,3.184209773,85.49019608,25.4,76.5,129.5,104.1,2.827358843,4533649.941,2281582.844,48,56.22660473,45.91199192,52.73633172,2.15,294.9604852,1.151600172,1.142666017,0.09735091,1.47762588,0.874036218,0.875156215,0.069146279,0.676761292,22,72.0530922,67.0365664,32.9897758,18.24020988,144.6567189,27.01434019,25.94243351,21.35879375,0,64.05783696,81.02811889,81.25407885,50.6126251,0,175.3645083,27,5,294.9604852,5,142.7944482,438.0031728,229.0051095,2403.916542,1770,21,90,-0.00663425,2.872349976,77.17514124,25.22222222,73.42105263,116.0833333,90.86111111,2.598250541,2738169.418,1976890.068,47,51.14716047,45.30829615,39.7016512,2.15,167.9094824,1.152992999,1.146501478,0.097918757,1.47762588,0.8730435,0.872218675,0.069547217,0.676761292,22,72.0530922,67.0365664,32.9897758,18.24020988,144.6567189,27.01434019,25.94243351,21.35879375,0,64.05783696,81.02811889,81.25407885,50.6126251,0,175.3645083,26,5,142.7944482,244.4900217,229.0051095,2403.916542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0
"7","BW054_P14_slide1_section_mid_crop2_Filaments_2.swc",4695,36,100,-0.006965681,3.600173936,117.6382979,39.5,100,212.5,173,3.143998266,16397586.78,12125484.55,101,61.08192583,44.88646454,47.17230482,3.154045022,176.432772,1.118675872,1.109849422,0.068740643,1.328743749,0.897210793,0.90102313,0.054398534,0.752590559,49,79.31687795,77.08351884,30.53368688,30.96346261,155.9888333,33.22661442,34.35782105,18.54317065,0,90,81.01421002,72.9548409,43.95515045,8.160171173,164.1854194,53,4,126.8843111,9,313.6345285,421.1099361,290.5925782,6042.390198,3170,32,100,-0.008041454,3.371979105,88.20189274,33.52631579,83.70967742,132.6875,99.16118421,2.701215399,7483387.63,5478628.656,66,60.28012311,41.35295442,49.58228623,3.154045022,175.9497076,1.115894792,1.104772464,0.071717022,1.320701082,0.899760328,0.905164508,0.057362302,0.757173606,32,85.28222978,80.07775847,31.17430673,39.09385889,155.9888333,34.90440158,36.14283989,19.01551372,0,90,80.88789775,69.50784988,46.96806842,8.160171173,164.1854194,35,7,299.6973283,312.4573152,261.7827948,3978.488125,1105,15,190,-0.002028837,2.116070358,207.8378378,154.2,205,244.8333333,90.63333333,2.64797687,2259019.777,1406717.473,29,56.61434897,44.88646454,36.61134211,2.169285795,152.7565814,1.121765522,1.118150179,0.063223203,1.328743749,0.894091653,0.894334248,0.048758069,0.752590559,14,70.05457376,65.49930737,28.75402131,30.96346261,113.9053643,33.61689754,34.35782105,15.02614175,0,55.47202834,81.54866215,80.84416568,43.50814623,10.02588829,138.8648083,15,5,311.072948,148.9997395,276.7208045,1641.81612,310,3,70,-0.003753653,1.487320882,116.1290323,60.33333333,102.5,179,118.6666667,2.740402894,356187.9977,68193.35225,3,16777.81326,4209.70968,3,140.6953175,154.6569837,44.39648851,90.9961967,176.432772,1.177094639,1.172850493,0.070320208,1.249440797,0.851566964,0.852623592,0.05068886,0.80035805,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,201.5610552,135.4369188,100.2697167,422.0859524
"8","BW054_P14_slide1_section_mid_crop2_Filaments_6.swc",3835,34,70,-0.004741636,3.109510059,116.8831169,30.71428571,83.75,251.875,221.1607143,3.162789417,9138923.178,5341554.837,84,63.75275234,55.47660661,45.07767242,2.719558788,175.4631689,1.145947158,1.150432137,0.07550213,1.402467686,0.876416746,0.869238668,0.058291346,0.713028906,39,67.74279483,64.59762649,27.64104232,13.773711,128.9334322,35.00613192,35.27998259,22.32639986,0,90,77.45554115,76.69619486,47.27154642,0,180,46,7,192.9505789,11,254.3844299,445.6462009,186.5855304,5162.280618,2180,23,70,-0.007968355,3.206379165,73.21100917,22.375,66.52173913,116.5454545,94.17045455,2.630384246,4289984.469,3287703.818,43,65.78926739,52.96345758,47.86465903,7.879558788,175.4631689,1.158641049,1.156552529,0.073157857,1.402467686,0.866354407,0.864638635,0.053380335,0.713028906,19,70.04228906,74.7448813,31.6181715,13.773711,128.9334322,39.79450738,31.61750044,24.73413314,0,90,91.1964678,84.38942238,51.79905168,3.403958824,180,25,5,254.3844299,281.3714998,186.5855304,2828.938498,905,9,230,0.004786269,0.73631793,247.826087,194.4,243.3333333,289.7142857,95.31428571,2.612030291,785071.8407,608614.0665,15,82.80809303,97.53475125,47.57520753,5.820332885,163.6776166,1.235820981,1.177698271,0.39694055,2.637135804,0.851840337,0.849113924,0.147439416,0.379199281,8,60.13618963,52.1046179,23.16708365,30.96375653,98.62399287,30.24517218,39.69482219,26.04497044,0,57.47131638,87.18355571,84.54999617,49.31394493,0,167.8813798,9,5,230.2217044,141.4641842,91.64980847,1242.121395,590,11,80,-0.007195353,2.355149231,82.71186441,49.75,75,113.6666667,63.91666667,2.209006888,1244741.869,843969.5785,5,347150.0582,257235.9617,19,57.43266972,67.85521964,31.55122327,5.287570331,106.8252454,1.147135579,1.157478241,0.065852366,1.242797197,0.874578716,0.863947126,0.052379514,0.804636511,7,62.28654223,63.43494882,24.67917497,33.04731786,90,29.58260619,36.86989765,16.90298333,0,46.8575193,75.85020238,77.041196,27.75697895,41.24447644,108.0739411,12,3,192.181654,184.3759621,134.33924,1091.220725
"9","BW054_P14_slide1_section_mid_crop2_Filaments_7.swc",4055,33,70,-0.005701502,3.304160612,122.2413793,29.17647059,86.42857143,259.3333333,230.1568627,3.272486684,13057861.73,7306144.763,98,56.19735243,48.24876461,39.90685673,2.643785165,156.0421995,1.148048497,1.145989867,0.107221289,1.768487135,0.877762977,0.872608659,0.074177965,0.565455061,47,79.36901137,75.98261081,32.81067064,15.2551187,154.0575665,27.57343754,22.57981616,17.98735681,0,76.7020098,86.6934609,86.13401852,45.05075177,0,180,52,5,148.7862105,11,313.8867405,406.582908,235.8201932,5358.554328,2070,21,60,-0.009671923,3.312499966,68.26086957,18.23076923,62.25,108.6923077,90.46153846,2.574241696,3821080.842,3117603.214,49,54.01808672,48.69502209,40.76011642,2.643785165,156.0421995,1.159257388,1.170587363,0.093593478,1.319182938,0.868346579,0.854271994,0.072656746,0.758044977,23,82.24504196,90,35.22836029,15.2551187,128.9223795,28.37786359,23.11465678,15.89004611,8.54e-07,57.47131638,84.26639279,72.44406997,48.61552872,16.88060194,167.4608577,27,7,242.5279847,201.8290991,235.8201932,2646.886249,1195,9,230,-0.001387349,2.088580572,241.5833333,170,237.7777778,298,128,2.943900028,2101035.341,1424760.509,23,73.72240859,79.79568816,44.10672345,2.719558788,144.5870835,1.153605541,1.130721346,0.147839963,1.768487135,0.876952447,0.884391193,0.084067362,0.565455061,11,81.52570016,75.96375653,19.84993149,46.24264737,113.6458902,37.38956942,33.69006753,18.21816386,18.43494882,76.7020098,80.26826841,71.86774594,43.31916024,10.74347596,147.1231755,12,5,313.8867405,186.7035377,147.3817026,1695.615398,660,12,70,-0.007506493,2.452965775,84.84848485,49.2,74.44444444,118.5,69.3,2.308193927,888105.2085,719576.7167,5,183416.1775,95726.58208,21,48.383461,47.80250713,31.09333587,5.883434371,110.4022642,1.124818594,1.112465268,0.096743735,1.318767786,0.895107541,0.898904468,0.07437568,0.758283612,8,84.08234851,82.37244065,44.21219873,33.69006753,154.0575665,13.98347013,16.63718432,10.19401062,0,25.94243351,59.86075671,64.08795934,53.33266179,0,135,13,3,191.1591208,133.4953326,166.5053995,1016.052681
"10","BW054_P14_slide1_section_mid_crop2_Filaments_8.swc",3345,33,70,-0.006147199,3.165520681,106.8358209,31.19047619,78.5483871,236.25,205.0595238,3.093100417,9403244.2,4501178.944,96,46.09320649,36.92576088,35.41525667,2.643785165,156.7491941,1.112643076,1.108894146,0.064489343,1.321854342,0.901713627,0.901799545,0.051655269,0.756513004,46,68.39078993,70.45302571,25.15592528,24.10244992,135.7126471,28.47043129,24.68742457,19.15224907,0,74.04487634,100.3516765,96.78617689,41.1189097,20.5723024,180,51,5,166.5483827,8,209.6174257,458.3391057,234.1464597,4258.39944,2260,29,60,-0.012275481,3.414496125,69.60176991,26.14285714,63.79310345,103.1428571,77,2.473778819,3179502.804,2596383.057,79,37.93643989,27.58619551,27.82028666,2.643785165,111.9257055,1.106139559,1.108202792,0.062907706,1.267528488,0.906920703,0.90236192,0.051346788,0.788936903,38,70.53991597,71.85665657,26.33007573,24.10244992,135.7126471,29.47343528,24.68742457,19.21270084,0,74.04487634,97.79649608,92.13547588,38.86152998,20.5723024,162.3257735,42,8,195.6009089,243.6158334,234.1464597,2996.978751,595,7,270,0.00236682,0.951283459,242.6666667,176.6666667,244,288,111.3333333,2.695231641,647312.4038,374692.1458,11,76.79231113,81.38708338,36.99966327,3.545870838,127.5627374,1.151359439,1.129415771,0.082473751,1.321854342,0.872578266,0.885413526,0.062366731,0.756513004,5,59.35551312,51.64494528,17.42119349,44.43432755,82.42011975,19.77921804,14.03624347,14.45131408,7.125016349,35.42423901,88.50614879,78.80421637,57.94378422,31.65567282,164.7604896,6,3,165.421352,146.7621205,140.1640746,844.7154224,340,3,70,-0.002220385,1.55523718,126.4705882,72,120,176,104,2.531613028,162789.0417,42765.82917,3,7093.380333,1974.886083,3,138.9017556,141.5715025,19.32114783,118.3845702,156.7491941,1.13464895,1.133940541,0.048162607,1.183161854,0.882389406,0.881880454,0.037453574,0.845192901,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,77.05802802,94.87637631,197.4111977,416.7052667
