Neuron,Section,Number,Brain,Perturbation,Epitope,Channel,Age,Clearing_method,Processing_date,Tracing,Type
BW054_P14_slide1_section_mid_crop1_Filaments_2.swc,BW054_P14_slide1_section_mid_crop1,2,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop1_Filaments_4.swc,BW054_P14_slide1_section_mid_crop1,4,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop1_Filaments_5.swc,BW054_P14_slide1_section_mid_crop1,5,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop1_Filaments_6.swc,BW054_P14_slide1_section_mid_crop1,6,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop1_Filaments_8.swc,BW054_P14_slide1_section_mid_crop1,8,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop1_Filaments_9.swc,BW054_P14_slide1_section_mid_crop1,9,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop2_Filaments_2.swc,BW054_P14_slide1_section_mid_crop2,2,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop2_Filaments_6.swc,BW054_P14_slide1_section_mid_crop2,6,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop2_Filaments_7.swc,BW054_P14_slide1_section_mid_crop2,7,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop2_Filaments_8.swc,BW054_P14_slide1_section_mid_crop2,8,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop2_Filaments_9.swc,BW054_P14_slide1_section_mid_crop2,9,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop2_Filaments_11.swc,BW054_P14_slide1_section_mid_crop2,11,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop2_Filaments_12.swc,BW054_P14_slide1_section_mid_crop2,12,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop3_Filaments_1.swc,BW054_P14_slide1_section_mid_crop3,1,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop3_Filaments_2.swc,BW054_P14_slide1_section_mid_crop3,2,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop3_Filaments_4.swc,BW054_P14_slide1_section_mid_crop3,4,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop3_Filaments_6.swc,BW054_P14_slide1_section_mid_crop3,6,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop4_Filaments_1.swc,BW054_P14_slide1_section_mid_crop4,1,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop4_Filaments_2.swc,BW054_P14_slide1_section_mid_crop4,2,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop4_Filaments_4.swc,BW054_P14_slide1_section_mid_crop4,4,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop4_Filaments_5.swc,BW054_P14_slide1_section_mid_crop4,5,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop4_Filaments_6.swc,BW054_P14_slide1_section_mid_crop4,6,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
BW054_P14_slide1_section_mid_crop4_Filaments_7.swc,BW054_P14_slide1_section_mid_crop4,7,BW054-1,None,RFP,AF546,P14,SHIELD,11/7/2023,Imaris,Age
