"","file","Global_sholl_auc","Global_sholl_peak","Global_sholl_radius_at_peak","Global_sholl_semilog_slope","Global_sholl_semilog_intercept","Global_sholl_radius_com","Global_sholl_r10","Global_sholl_r50","Global_sholl_r90","Global_sholl_width_r90_r10","Global_sholl_entropy","Global_convex_3D_volume","Global_alpha_3D_volume","Global_n_branches","Global_branch_len_mean","Global_branch_len_median","Global_branch_len_sd","Global_branch_len_min","Global_branch_len_max","Global_branch_tortuosity_mean","Global_branch_tortuosity_median","Global_branch_tortuosity_sd","Global_branch_tortuosity_max","Global_branch_contraction_mean","Global_branch_contraction_median","Global_branch_contraction_sd","Global_branch_contraction_min","Global_n_bifurcations","Global_bif_childpair_angle_min_mean","Global_bif_childpair_angle_min_median","Global_bif_childpair_angle_min_sd","Global_bif_childpair_angle_min_min","Global_bif_childpair_angle_min_max","Global_bif_parent_child_tilt_min_mean","Global_bif_parent_child_tilt_min_median","Global_bif_parent_child_tilt_min_sd","Global_bif_parent_child_tilt_min_min","Global_bif_parent_child_tilt_min_max","Global_bif_plane_torque_mean","Global_bif_plane_torque_median","Global_bif_plane_torque_sd","Global_bif_plane_torque_min","Global_bif_plane_torque_max","Global_n_terminals","Global_N_stems","Global_trunk_total_length","Global_max_branch_order","Global_extent_width","Global_extent_height","Global_extent_depth","Global_dendrite_total_length","Basal_sholl_auc","Basal_sholl_peak","Basal_sholl_radius_at_peak","Basal_sholl_semilog_slope","Basal_sholl_semilog_intercept","Basal_sholl_radius_com","Basal_sholl_r10","Basal_sholl_r50","Basal_sholl_r90","Basal_sholl_width_r90_r10","Basal_sholl_entropy","Basal_convex_3D_volume","Basal_alpha_3D_volume","Basal_n_branches","Basal_branch_len_mean","Basal_branch_len_median","Basal_branch_len_sd","Basal_branch_len_min","Basal_branch_len_max","Basal_branch_tortuosity_mean","Basal_branch_tortuosity_median","Basal_branch_tortuosity_sd","Basal_branch_tortuosity_max","Basal_branch_contraction_mean","Basal_branch_contraction_median","Basal_branch_contraction_sd","Basal_branch_contraction_min","Basal_n_bifurcations","Basal_bif_childpair_angle_min_mean","Basal_bif_childpair_angle_min_median","Basal_bif_childpair_angle_min_sd","Basal_bif_childpair_angle_min_min","Basal_bif_childpair_angle_min_max","Basal_bif_parent_child_tilt_min_mean","Basal_bif_parent_child_tilt_min_median","Basal_bif_parent_child_tilt_min_sd","Basal_bif_parent_child_tilt_min_min","Basal_bif_parent_child_tilt_min_max","Basal_bif_plane_torque_mean","Basal_bif_plane_torque_median","Basal_bif_plane_torque_sd","Basal_bif_plane_torque_min","Basal_bif_plane_torque_max","Basal_n_terminals","Basal_max_branch_order","Basal_extent_width","Basal_extent_height","Basal_extent_depth","Basal_dendrite_total_length","Tuft_sholl_auc","Tuft_sholl_peak","Tuft_sholl_radius_at_peak","Tuft_sholl_semilog_slope","Tuft_sholl_semilog_intercept","Tuft_sholl_radius_com","Tuft_sholl_r10","Tuft_sholl_r50","Tuft_sholl_r90","Tuft_sholl_width_r90_r10","Tuft_sholl_entropy","Tuft_convex_3D_volume","Tuft_alpha_3D_volume","Tuft_n_branches","Tuft_branch_len_mean","Tuft_branch_len_median","Tuft_branch_len_sd","Tuft_branch_len_min","Tuft_branch_len_max","Tuft_branch_tortuosity_mean","Tuft_branch_tortuosity_median","Tuft_branch_tortuosity_sd","Tuft_branch_tortuosity_max","Tuft_branch_contraction_mean","Tuft_branch_contraction_median","Tuft_branch_contraction_sd","Tuft_branch_contraction_min","Tuft_n_bifurcations","Tuft_bif_childpair_angle_min_mean","Tuft_bif_childpair_angle_min_median","Tuft_bif_childpair_angle_min_sd","Tuft_bif_childpair_angle_min_min","Tuft_bif_childpair_angle_min_max","Tuft_bif_parent_child_tilt_min_mean","Tuft_bif_parent_child_tilt_min_median","Tuft_bif_parent_child_tilt_min_sd","Tuft_bif_parent_child_tilt_min_min","Tuft_bif_parent_child_tilt_min_max","Tuft_bif_plane_torque_mean","Tuft_bif_plane_torque_median","Tuft_bif_plane_torque_sd","Tuft_bif_plane_torque_min","Tuft_bif_plane_torque_max","Tuft_n_terminals","Tuft_max_branch_order","Tuft_extent_width","Tuft_extent_height","Tuft_extent_depth","Tuft_dendrite_total_length","Oblique_sholl_auc","Oblique_sholl_peak","Oblique_sholl_radius_at_peak","Oblique_sholl_semilog_slope","Oblique_sholl_semilog_intercept","Oblique_sholl_radius_com","Oblique_sholl_r10","Oblique_sholl_r50","Oblique_sholl_r90","Oblique_sholl_width_r90_r10","Oblique_sholl_entropy","Oblique_convex_3D_volume","Oblique_alpha_3D_volume","Oblique_n_components","Oblique_convex_3D_volume_component_sum","Oblique_alpha_3D_volume_component_sum","Oblique_n_branches","Oblique_branch_len_mean","Oblique_branch_len_median","Oblique_branch_len_sd","Oblique_branch_len_min","Oblique_branch_len_max","Oblique_branch_tortuosity_mean","Oblique_branch_tortuosity_median","Oblique_branch_tortuosity_sd","Oblique_branch_tortuosity_max","Oblique_branch_contraction_mean","Oblique_branch_contraction_median","Oblique_branch_contraction_sd","Oblique_branch_contraction_min","Oblique_n_bifurcations","Oblique_bif_childpair_angle_min_mean","Oblique_bif_childpair_angle_min_median","Oblique_bif_childpair_angle_min_sd","Oblique_bif_childpair_angle_min_min","Oblique_bif_childpair_angle_min_max","Oblique_bif_parent_child_tilt_min_mean","Oblique_bif_parent_child_tilt_min_median","Oblique_bif_parent_child_tilt_min_sd","Oblique_bif_parent_child_tilt_min_min","Oblique_bif_parent_child_tilt_min_max","Oblique_bif_plane_torque_mean","Oblique_bif_plane_torque_median","Oblique_bif_plane_torque_sd","Oblique_bif_plane_torque_min","Oblique_bif_plane_torque_max","Oblique_n_terminals","Oblique_max_branch_order","Oblique_extent_width","Oblique_extent_height","Oblique_extent_depth","Oblique_dendrite_total_length"
"1","20180102_sample_5.SWC",4135,42,80,-0.005416148,3.023613738,120.1690821,32.57142857,85,246,213.4285714,3.20073627,9771432.08,3601073.779,80,77.79664757,60.51735305,72.54853912,2.425403559,361.1712665,1.887394028,1.348287153,3.907389693,36.2586872,0.707768904,0.741681895,0.144969573,0.027579598,37,76.21991979,86.00781633,43.79671797,2.042231909,157.5314141,54.64749462,50.0757035,29.53316502,11.23046876,133.2739687,64.75258391,58.06179131,45.9468915,15.93438179,162.7959401,43,6,435.363717,10,295.7483695,682.1347695,158.2127941,5746.980739,2510,31,80,-0.01031897,3.358746739,86.69322709,30.73333333,80.19230769,132.9,102.1666667,2.740809628,2541951.448,1726944.546,56,68.24410148,47.70313475,56.16844371,2.425403559,249.4634284,1.499064307,1.391596893,0.391193838,3.487703409,0.697327924,0.718598917,0.125915961,0.286721628,26,80.63470823,86.02830806,44.26143542,2.042231909,157.5314141,51.981801,39.02622505,31.99870695,11.23046876,133.2739687,72.20180479,64.70348061,52.57066211,15.93438179,162.7959401,31,7,283.175726,236.3006054,158.2127941,3821.669683,295,3,440,0.001034308,0.733317205,433,375,433.3333333,473.3333333,98.33333333,2.528422553,93145.26762,50987.07153,5,85.23381866,87.38058437,65.24429478,1.100681607,182.5291939,1.276107645,1.247366483,0.227104082,1.621642324,0.80311434,0.80168901,0.138943286,0.616658794,2,59.01524259,59.01524259,47.10238171,25.70882907,92.32165611,77.53280268,77.53280268,1.261490515,76.64079419,78.42481118,NA,NA,NA,NA,NA,3,2,103.9691864,123.0643081,48.2455667,426.1690933,950,15,50,-0.006496661,2.350528711,87.57894737,35,72.5,157.5,122.5,2.717633683,1921646.711,986581.749,7,154272.5041,54793.61205,11,136.285633,103.4460455,86.48541486,30.59803571,312.6067663,1.449840149,1.387878691,0.214901843,1.933862377,0.701690742,0.720524068,0.089465538,0.517099878,2,51.83653278,51.83653278,52.23076017,14.90380808,88.76925749,66.09688586,66.09688586,22.65737337,50.0757035,82.11806821,NA,NA,NA,NA,NA,9,1,285.805999,228.4902557,112.2731807,1499.141963
"2","20180220_sample_2.SWC",1995,29,40,-0.010767217,3.15757321,76.75,26.66666667,62.22222222,123.3333333,96.66666667,2.732710284,2477373.288,1591220.304,50,60.68386987,48.40450598,47.7788553,5.037500544,222.0752195,1.798322277,1.319504566,3.010742759,22.57095769,0.737621653,0.757860347,0.158566206,0.044304722,23,89.50968894,85.21804803,39.91164369,8.905677274,158.1408867,49.24981748,39.00519558,29.10477301,16.16611861,152.6370065,98.40443429,98.3060278,40.52713074,32.2890836,159.5148829,27,4,363.7350401,8,92.8762989,384.6132264,232.6461412,2622.474594,950,10,50,-0.007040873,2.456535352,67.57894737,19.16666667,62.5,105,85.83333333,2.509317488,1171122.057,579525.4827,18,73.59952845,73.05663861,48.20438561,5.037500544,155.6102732,1.293770232,1.264128537,0.15099568,1.541248683,0.782914139,0.791104069,0.09123316,0.648824561,8,77.64839885,81.64024844,31.25439282,35.03112195,123.0278014,48.43016011,46.85594935,19.82522561,26.1434336,82.0835467,101.2886523,108.4198586,43.15840237,43.24646991,145.0684223,11,4,92.8762989,234.1429955,232.6461412,1324.791512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,760,20,40,-0.014195756,2.870162174,67.5,33.3,55.45454545,101.3333333,68.03333333,2.184176898,547160.0332,484066.8187,7,121372.951,94686.08698,23,56.42100354,48.82515187,37.0521011,6.609816816,151.1270532,1.473256599,1.351774081,0.362316548,2.396840889,0.71211961,0.739768586,0.146563386,0.417215846,8,96.24434483,94.91180379,50.81373038,8.905677274,155.8431653,54.83675871,38.94863179,44.07408684,16.16611861,152.6370065,112.7196729,98.20897497,41.48880428,80.43516069,159.5148829,15,3,83.68710213,165.9476214,157.4018346,1297.683081
"3","20180225_sample_1.SWC",3775,48,40,-0.009311963,3.645734933,93.04232804,25.81818182,65,194.3333333,168.5151515,2.968766897,5900181.995,4011232.727,105,63.95328203,50.74149007,44.64179526,3.533632797,206.5751651,3.066405934,1.589103134,13.8419532,143.3141819,0.624573226,0.629285777,0.149977128,0.006977677,49,89.12442679,89.82818467,44.65055809,16.77711616,169.3524703,57.46793188,62.66949336,28.10513924,2.374248009,138.5262739,71.31954299,61.50527231,36.52092719,19.50675334,121.3518138,56,7,116.7727043,11,148.8463961,340.8696743,300.4735481,6553.894512,1650,24,40,-0.017368276,3.531878735,54.90909091,16.78571429,47.29166667,88.125,71.33928571,2.346918823,1354027.584,1075637.261,47,58.79385693,47.96431964,38.0775544,3.533632797,158.9114392,1.611771995,1.471094872,0.3614096,3.108518615,0.644718379,0.679765812,0.115549173,0.321696642,21,87.23085852,91.0744436,35.89742019,17.4676489,149.2416283,50.30899578,59.96251859,22.42941684,2.374248009,80.62504467,65.6945655,49.37705876,38.87075305,20.99627433,112.7456853,27,5,101.6800003,230.4707729,209.3566341,2763.311276,1045,12,200,-0.005008344,2.603319927,183.8095238,123,181.3636364,225,102,2.728195576,1686294.922,1076707.543,27,75.54094739,67.78695903,48.41679361,0.428670178,206.5751651,1.959180929,1.604004049,1.45625298,8.922880061,0.604887571,0.623439823,0.165184404,0.112071438,13,115.0611417,126.36497,41.70308853,50.09770754,166.1563035,60.26749776,64.18082549,31.87497728,7.283995493,125.386993,77.06282981,90.32992225,52.20264259,19.50675334,121.3518138,14,6,125.5608088,151.5457413,273.5230605,2039.60558,970,23,40,-0.007995332,2.727342711,65.36082474,33.7826087,56.33333333,92.6,58.8173913,2.057111844,829278.0914,714381.687,4,348083.9419,290409.5537,26,67.34529449,44.02300031,52.33255956,10.00950824,176.1606118,1.741781517,1.673706822,0.364004517,2.829336102,0.596627723,0.597478989,0.116361053,0.353439805,11,76.59170501,85.8094376,54.69101838,16.77711616,169.3524703,69.82308664,70.26515871,33.32944365,21.73802496,138.5262739,98.2196846,98.2196846,NA,98.2196846,98.2196846,15,3,78.77419936,144.1544592,214.8866428,1750.977657
"4","20180225_sample_3.SWC",2495,24,20,-0.01032357,3.390401729,78.56573705,15.45833333,61.13636364,149.6666667,134.2083333,2.889714863,3824116.808,1858915.864,57,71.04955703,55.78425942,56.89055832,2.249666778,313.2194739,2.727098844,1.577021257,6.655990419,51.69644045,0.59827758,0.634106862,0.186527104,0.019343692,26,69.86101815,64.37238934,49.21891665,9.819338661,162.9800024,70.71921578,67.87774759,37.31158439,15.069784,166.1414675,127.3472802,134.7643821,36.22721637,59.9480759,163.8244487,31,5,382.3825654,5,303.3403027,387.1188965,110.8192902,3629.583586,1420,16,50,-0.011936655,3.100939859,65.91549296,17.2,59.33333333,106.3333333,89.13333333,2.568296984,1330329.18,955926.1881,39,61.78115166,48.50674365,42.82189547,2.249666778,198.4022188,1.833110643,1.488051437,0.955653242,6.004349961,0.62643525,0.67201978,0.179292926,0.166545922,18,73.49405428,67.46563496,51.80836212,9.819338661,162.9800024,72.26054484,66.89865769,38.94649731,16.29673081,166.1414675,119.6363399,124.6043389,40.47409889,59.9480759,163.8244487,22,5,249.377383,156.5020926,102.8764954,2409.464915,155,3,280,-0.001460995,1.391112506,239.4117647,198.5,232.5,274.3333333,75.83333333,2.150060224,31595.85588,26866.57978,3,83.46184423,75.59883762,87.5595463,0.098994949,174.6877001,1.330727483,1.296276804,0.349229586,1.695905646,0.787031873,0.771440172,0.205616121,0.589655446,1,29.9098924,29.9098924,NA,29.9098924,29.9098924,15.069784,15.069784,NA,15.069784,15.069784,NA,NA,NA,NA,NA,2,1,65.48282506,86.6164571,44.53923249,250.3855327,590,10,30,-0.011687137,2.508373416,65.25423729,20.9,53,110.5,89.6,2.498422104,568172.9259,291666.6299,3,145953.2723,119174.9804,11,88.15755807,72.66649239,52.31213856,22.19714891,188.3549912,1.84315473,1.61990856,0.561496962,3.176628153,0.58074095,0.617318795,0.143920351,0.3147992,4,75.98065726,63.8262425,57.66639392,20.42600478,155.8441392,91.01083721,83.66028041,22.67446557,73.26370444,123.4590836,NA,NA,NA,NA,NA,7,2,254.4430564,118.4338849,87.22383209,969.7331388
"5","20180228_sample_3.SWC",2425,20,60,-0.007713451,3.150916567,105.5967078,24.2,83,197.8333333,173.6333333,3.20072873,6705302.853,2030245.112,60,62.02599273,54.61192356,47.88458898,5.574946635,252.8729231,2.272227227,1.333323921,6.347859744,50.52160031,0.712643994,0.750008358,0.167272703,0.019793514,27,87.38764799,86.1292821,54.51272949,7.544843412,168.7007113,57.8654419,65.71544936,26.22842976,6.798904323,88.91482924,76.47672963,60.13458488,49.37422323,17.55125537,168.5445277,33,5,28.08464529,10,497.3176149,302.9260004,211.115947,3644.209234,1010,13,50,-0.006888647,2.558555315,61.38613861,18.5,53.46153846,99.8,81.3,2.454720824,636925.1867,507449.1598,26,60.24113729,60.88925302,34.41850486,9.345129456,140.3700166,1.560508267,1.338534379,0.530681145,3.634493115,0.688136265,0.747088419,0.154968259,0.275141531,11,93.1926604,93.97601328,61.97884447,7.544843412,166.8384044,62.50518205,65.71544936,29.21022039,12.58555608,99.4934029,73.83423199,73.13252751,38.93491635,17.55125537,138.1055297,16,5,212.2115253,151.9534471,91.26884095,1566.269569,1305,8,130,-0.004759048,2.356436877,146.4885496,53.5,134.375,239.5,186,3.278959495,3347709.173,975012.5828,31,63.68233452,53.97417507,58.53372572,1.118994949,252.8729231,1.352396736,1.274931761,0.27721497,2.362680447,0.764024569,0.784355705,0.128505154,0.423248096,15,82.05947754,71.14351426,51.95748612,11.43368629,168.7007113,55.83012609,69.52875908,26.45196389,6.798904323,83.28442938,69.44483402,50.53210109,35.62883155,47.26032443,110.5420765,16,8,497.3176149,167.9135676,165.969478,1974.15237,70,2,10,-0.005792359,0.963457253,31.42857143,3.5,25,53,49.5,1.747868097,3050.593006,2400.382708,1,3050.593006,2400.382708,1,103.7872941,103.7872941,NA,103.7872941,103.7872941,1.756554566,1.756554566,NA,1.756554566,0.569296291,0.569296291,NA,0.569296291,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,56.54343677,27.67858358,21.79307306,103.7872941
"6","20180306_sample_2.SWC",4260,33,70,-0.006708468,3.495802673,115.3161593,32.23809524,90.19230769,229.2222222,196.984127,3.205878401,7445106.913,4364426.848,97,67.07069242,55.12436823,51.27583675,2.793460371,220.2389604,1.960594779,1.317883078,5.322712821,53.56464119,0.732920547,0.758792655,0.144722126,0.018669032,45,89.05155725,88.51117928,44.76783015,10.33481014,173.5578558,53.43123501,53.51105764,29.62221144,5.296966233,123.2065703,93.09295913,93.14998548,38.50721112,25.26881928,170.3749995,52,6,151.8458277,10,128.3946088,439.3503015,353.8872274,6306.722526,2310,24,70,-0.010075582,3.341621843,76.36363636,23.15384615,70.65217391,119.2666667,96.11282051,2.632747143,3088091.542,2021749.004,50,65.49796609,54.80038732,48.79548892,3.022435354,178.1914357,1.340157661,1.3014875,0.20627737,1.945826767,0.762359467,0.768399101,0.109639887,0.513920364,23,85.41063618,88.44011281,40.18305747,17.72872319,166.760454,53.36383334,53.51105764,28.16337519,6.389898887,106.8787001,81.62731254,76.57449625,35.62344233,25.26881928,151.9037185,28,6,111.1692519,286.6489289,271.937381,3274.898304,1160,13,190,-0.002336775,2.251885562,215.982906,138.5,210.625,275.75,137.25,2.930159329,1672018.433,893885.4202,26,75.85307317,69.01014288,59.98293998,2.026867023,220.2389604,1.438443011,1.387335288,0.264419045,2.032540271,0.717237242,0.720806478,0.127050585,0.491995172,12,80.03366747,75.71484594,50.84833935,10.33481014,163.9667669,56.79065849,56.84342792,35.35132048,6.121306315,123.2065703,98.623527,96.54403817,47.5503386,40.38219311,170.3749995,14,5,86.35670814,200.6140991,353.8872274,1972.179902,660,8,70,-0.002565774,1.936259336,85.60606061,42.28571429,78.57142857,123.5,81.21428571,2.443852342,756960.0905,307519.1491,4,134945.6608,96878.29366,16,66.22776992,59.73170302,50.97822975,2.793460371,152.2076539,1.677163193,1.315003335,1.255978235,6.352198019,0.703942703,0.76048058,0.162749254,0.157425823,6,115.8330755,97.47075093,42.92039685,68.98871146,173.5578558,58.53427899,51.28691235,23.36914116,36.84979454,98.88266005,112.3827575,108.2329553,36.37460114,78.26102946,150.6542878,10,4,85.56157008,147.40523,243.8953138,1059.644319
"7","20180306_sample_3.SWC",3280,33,80,-0.006650425,3.4077963,92.52279635,20.5625,84.2,159.1,138.5375,2.917345368,3800573.848,2284190.044,95,59.54113845,51.29719506,36.75840682,5.646495038,155.5180023,1.661853969,1.469437207,1.087326072,11.50715228,0.667491719,0.680532652,0.148408451,0.086902474,42,69.4511758,78.8117901,45.03980269,3.744314883,159.5707834,75.92622931,86.83392613,30.36972027,16.83129079,151.6678892,85.7437656,80.68934712,56.13167797,14.8686076,168.1578068,53,11,81.13357715,12,97.06725927,332.6452668,249.5116656,5530.955155,2250,29,80,-0.007565153,3.208128546,76.31111111,17.66666667,73.27586207,122.5,104.8333333,2.648892642,2060850.365,1424565.034,65,58.34607339,51.29719506,39.53699977,5.646495038,155.5180023,1.575718129,1.474153737,0.391339376,2.835091859,0.667455486,0.6783553,0.139233937,0.352722257,28,68.07237446,76.98044681,41.33516482,3.744314883,159.5707834,77.46881047,88.61260905,33.72440913,16.83129079,151.6678892,85.7437656,80.68934712,56.13167797,14.8686076,168.1578068,38,12,97.06725927,259.5030931,249.5116656,3792.49477,730,12,170,0.005215297,0.943216093,151.6216216,94.66666667,154.4444444,187.2,92.53333333,2.550854359,545780.8793,411931.8288,21,64.8429363,61.36507037,34.80710687,2.146642254,119.8055132,1.489864718,1.364978531,0.318592668,2.356894275,0.697112306,0.732612255,0.130347193,0.424287169,10,67.25020047,69.25027938,59.01923448,4.139392122,158.4916844,77.31095676,88.87476093,20.0405369,40.23635831,94.49711493,NA,NA,NA,NA,NA,11,5,60.4364425,139.1160391,220.0885783,1361.701662,200,3,90,0.004629194,0.681574196,90,50,86.66666667,120,70,2.250260279,38358.33424,33218.50706,1,38358.33424,33218.50706,7,53.82267468,46.2059222,26.60118237,29.02070616,91.7683753,1.600597957,1.547747304,0.455934401,2.533472696,0.662190738,0.646100302,0.160646603,0.394715128,3,80.65386743,87.14996321,47.3434569,30.39780463,124.4138345,67.73438082,57.9326084,32.79793856,40.95485168,104.3156824,NA,NA,NA,NA,NA,4,2,26.58814893,94.63466009,75.68283664,376.7587228
"8","20180315_sample_5.SWC",2890,26,100,-0.008588677,3.453590872,88.68965517,22,81.30434783,150,128,2.915672805,5891789.159,2921974.577,55,79.36355465,72.22571118,52.12874322,5.298531628,176.256703,2.020309876,1.340326466,4.320399137,33.33297215,0.722152602,0.746086886,0.179354009,0.030000325,23,67.66844006,71.51821209,38.25993354,2.472639219,153.4319382,60.29573596,64.44076993,31.64214025,1.322172038,110.4913886,81.15239712,62.53853586,52.51991948,3.825996233,180,32,9,157.717199,12,133.2651064,373.4841697,323.3352236,4154.944479,1810,17,100,-0.00946632,3.124564557,77.3480663,20.09090909,70.38461538,124.1428571,104.0519481,2.724452319,2026128.517,1325557.752,27,96.41518178,102.1407361,46.20475746,15.64781481,171.5071202,1.446189006,1.340326466,0.43721843,3.362440046,0.727399379,0.746086886,0.133213801,0.297403072,10,67.96610658,77.49746449,37.38266336,2.472639219,125.495275,62.30119509,71.51893023,30.15696253,15.59591949,110.4913886,118.3524499,107.8613116,32.17937873,94.54720885,163.1399678,18,4,129.6575293,188.4657379,323.3352236,2603.209908,370,4,140,0.00154521,1.102037866,162.6315789,109,160,204,95,2.533487976,194571.7088,130144.9827,9,67.76034236,56.09784792,59.56824012,0.42373258,176.256703,1.293783838,1.282033395,0.209823037,1.621040208,0.790365143,0.780010883,0.12213963,0.616887845,4,54.521686,68.93481878,31.97586882,6.768883664,73.44822279,79.20030434,76.89292824,18.48918385,60.67115904,102.3442018,164.2326868,164.2326868,NA,164.2326868,164.2326868,5,4,58.97648649,120.8896692,131.3102942,609.8430812,580,8,90,0.001311799,1.332130159,86.72413793,32.66666667,82.5,137.3333333,104.6666667,2.63232133,1144223.276,449099.0859,7,60914.70879,30222.57977,11,85.62649905,76.38513088,54.44209872,9.018431824,160.781814,1.533004386,1.492432089,0.494743898,2.648238208,0.709853176,0.670047238,0.205303559,0.377609536,2,24.54459715,24.54459715,3.549770277,22.03453052,27.05466379,44.73103736,44.73103736,61.38940607,1.322172038,88.13990269,NA,NA,NA,NA,NA,9,2,106.9056797,165.1257749,198.2215901,941.8914895
"9","20180327_sample_6.SWC",4775,31,90,-0.004705492,3.39881191,119.9582463,24.95833333,90.86206897,244.7333333,219.775,3.237387085,9187717.233,5815034.019,109,65.21551443,59.98050338,41.973997,2.928538363,189.5527991,1.577709963,1.292199011,2.624227502,28.63851435,0.763211353,0.773874606,0.128779488,0.034918012,49,83.96453301,86.3472893,39.26052783,4.243297339,164.2868967,43.01579094,39.06583454,29.78335927,0,115.2982543,81.21078566,80.59837312,43.61610232,14.09040312,158.0495138,60,10,154.5924024,14,331.5701363,414.776027,141.3099082,6892.750915,2330,22,40,-0.009977588,3.422438619,71.7167382,19.5,65.52631579,117.25,97.75,2.637798154,2821548.622,2390734.227,45,75.75714138,59.98050338,48.01764907,12.54811977,189.5527991,1.374938672,1.306862885,0.236430183,2.239680853,0.74494706,0.765191216,0.107632043,0.446492186,18,81.5666143,85.75206429,40.91720434,4.243297339,148.1997116,42.55085568,45.41261792,27.30914691,4.666604314,85.65690567,90.01646632,87.0583231,45.65132073,17.20084716,164.537223,28,6,322.8706793,188.3481489,108.9263829,3409.071362,1465,18,240,0.006123198,0.737829011,227.5,159.5,229.2857143,273.1428571,113.6428571,2.765078487,1674225.971,1201400.839,41,55.13471648,57.6594881,34.73297788,0.07,130.5100951,1.28912453,1.279435673,0.170867401,1.850286969,0.788281305,0.78159459,0.098929525,0.540456706,20,84.87780104,87.01424708,39.86534637,5.178204615,164.2868967,50.94353159,50.47918884,24.75586952,8.179959139,90,55.04267203,48.98616772,38.98384325,14.09040312,118.0997385,21,7,310.9729228,171.2605554,111.7458255,2260.523376,780,9,50,-0.004738766,2.0642268,81.15384615,39.6,74.44444444,116.4,76.8,2.472727045,951388.5851,612853.3441,6,140303.4176,96654.3071,16,76.44726105,73.22543332,35.18793671,13.91889098,152.0150742,1.317874586,1.300743791,0.191626598,1.761879627,0.773596043,0.769000129,0.110299304,0.567575665,5,86.21770374,72.49499127,42.67703257,54.10575712,159.5308114,49.21502756,26.29424837,48.897879,1.077281197,115.2982543,59.19774758,59.19774758,NA,59.19774758,59.19774758,11,2,241.3589324,145.4698168,85.01592818,1223.156177
"10","20180410_sample_4.SWC",4145,33,30,-0.009804597,3.87606115,97.22891566,23.78787879,81.55172414,180.7142857,156.9264069,3.080819954,6547056.437,4476657.109,98,68.00838982,62.77985301,40.5718441,5.455682058,169.7061638,2.508620505,1.422048458,9.627307084,96.70515881,0.69180097,0.703210958,0.176091524,0.01034071,43,82.09142675,76.80051449,47.55055085,3.798288078,164.3171519,46.50948911,45.19291092,26.03482866,3.250463005,116.2177874,88.25752943,85.52765219,47.3538021,11.88636442,169.7290859,55,9,0,8,445.7980517,264.4543777,134.7698125,6605.650023,1690,26,30,-0.012575584,3.380983398,54.02366864,14.21428571,46.57894737,87.92857143,73.71428571,2.349715915,1442148.42,974425.5285,40,60.87529088,56.68408595,37.87347853,5.455682058,147.3771106,1.493560791,1.418399098,0.392512967,3.064281523,0.704480592,0.705025776,0.144675179,0.326340773,17,82.73123905,76.80051449,37.65881845,14.1963184,147.7625933,45.24842071,40.40726355,25.8794815,5.896158432,90.49131002,82.80031509,76.9305036,47.8670497,18.88674463,169.7290859,24,4,214.6561027,166.5793726,104.3270299,2435.011635,2435,19,100,-0.00359224,2.536457547,127.8688525,50.4,117.2222222,205.1428571,154.7428571,3.119209694,4364199.834,2959621.363,57,73.16909452,66.84470318,42.27803776,9.312836985,169.7061638,1.568372263,1.421705019,0.595323599,4.863625443,0.694858434,0.70338079,0.175262078,0.205607938,26,81.67308794,82.09931233,53.76311382,3.798288078,164.3171519,47.33403384,47.56967573,26.61386407,3.250463005,116.2177874,88.56890467,93.23888443,49.31770567,11.88636442,164.1682845,31,7,445.7980517,170.5126117,133.706325,4170.638388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0
